Serial Number,Error Type,Ungrammatical Statement,Standard English
90,Mixed Conditionals,"If she will take the medicine, she would have felt better.","If she took the medicine, she would feel better."
91,Conjunction Misuse,"The conference is interesting, and it is well-organized.",The conference is interesting and well-organized.
92,Conjunction Misuse,"He is studying, or he is preparing for the exam.",He is either studying or preparing for the exam.
93,Mixed Conditionals,"If they will not argue, they could have solved the problem.","If they did not argue, they could solve the problem."
94,Spelling Mistakes,68. The weather forecast predicts rain for the next three days.,68. The weather forecast predicts rain for the next three days.
95,Parallelism Errors,"John needs to clean his room, the car, and organizing his desk.","John needs to clean his room, the car, and organize his desk."
96,Contractions Errors,The team lost they're motivation after the loss.,The team lost their motivation after the loss.
97,Relative Clause Errors,The shoes she bought them last month are already worn out.,The shoes that she bought last month are already worn out.
98,Incorrect Auxiliaries,The city's population be growing rapidly.,The city's population is growing rapidly.
99,Word Choice/Usage,Please be advise on the new office policy.,Please be advised on the new office policy.
100,Sentence Structure Errors,The cake needs to bake in oven for 30 minutes.,The cake needs to bake in the oven for 30 minutes.
101,Word Choice/Usage,He was very weary after the long journey.,He was very weary after the long journey.
102,Ellipsis Errors,The cake was delicious... ate too much.,"The cake was delicious, but I ate too much."
103,Subject-Verb Agreement,The variety of birds in the aviary is amazing.,The variety of birds in the aviary are amazing.
104,Article Usage,She bought the ice cream for her daughter.,She bought ice cream for her daughter.
105,Lack of Parallelism in Lists or Series,"The cake was delicious, moist, and decorated beautifully.","The cake was delicious, moist, and beautifully decorated."
106,Conjunction Misuse,"The movie was entertaining, but it was also thought-provoking.",The movie was entertaining and thought-provoking.
107,Article Usage,The car is making a strange noise when a engine is running.,The car is making a strange noise when the engine is running.
108,Infinitive Errors,He plans to eventually write a book about his travels.,He plans to write a book about his travels eventually.
109,Sentence Fragments,"The lecture, informative, students taking notes.","The lecture was informative, with students taking notes."
110,Inappropriate Register,The new intern is a quick learner and always keen on helpin' others.,The new intern is a quick learner and always eager to help others.
111,Sentence Structure Errors,She has a beautiful singing voice and sings often.,She has a beautiful singing voice and sings often.
112,Incorrect Auxiliaries,The cat has eaten it food.,The cat has eaten its food.
113,Abbreviation Errors,They're launching a new SaaS product nxt qtr.,They're launching a new Software as a Service product next quarter.
114,Inappropriate Register,"Yo, how's it hangin'? I need to know the time of the meeting.","Hello, how are you? I need to know the time of the meeting."
115,Conjunction Misuse,"I like to exercise, or I like to relax.",I like to either exercise or relax.
116,Abbreviation Errors,"My new TV has HDMI, USB, and BT cnct.","My new TV has High-Definition Multimedia Interface, Universal Serial Bus, and Bluetooth connectivity."
117,Article Usage,The team is working together to solve a problem.,The team is working together to solve the problem.
118,Abbreviation Errors,The sci study focused on DNA and RNA strc.,The scientific study focused on deoxyribonucleic acid and ribonucleic acid structures.
119,Word Choice/Usage,He was very adapt at playing chess.,He was very adept at playing chess.
120,Contractions Errors,"He's a doctor, but he's patients don't like him.","He's a doctor, but his patients don't like him."
121,Preposition Usage,The concert will be held in the stadium.,The concert will be held at the stadium.
122,Mixed Metaphors/Idioms,"41. Great minds think alike, but too many cooks spoil the broth.",41. Great minds think alike.
123,Modifiers Misplacement,The report was presented by the analyst including recent trends.,The report including recent trends was presented by the analyst.
124,Sentence Fragments,"The rain, heavy, streets flooded.","The rain was heavy, and the streets were flooded."
125,Gerund and Participle Errors,I am sorry for disturb you at this late hour.,I am sorry for disturbing you at this late hour.
126,Article Usage,She is studying a history of art.,She is studying the history of art.
127,Run-on Sentences,He studied hard for the exam he passed with flying colors.,"He studied hard for the exam, and he passed with flying colors."
128,Subject-Verb Agreement,The choir of singers sings beautifully.,The choir of singers sing beautifully.
129,Preposition Usage,The kids are playing outside the house.,The kids are playing outside of the house.
130,Sentence Structure Errors,The plants needs to be watered every day.,The plants need to be watered every day.
131,Modifiers Misplacement,The tree was cut down by the workers blocking the road.,The tree blocking the road was cut down by the workers.
132,Quantifier Errors,I bought all of the apples in the store.,I bought all the apples in the store.
133,Verb Tense Errors,The computer not working properly.,The computer is not working properly.
134,Relative Clause Errors,"My brother, works at the bank, is visiting tomorrow.","My brother, who works at the bank, is visiting tomorrow."
135,Verb Tense Errors,The author has been write a new book.,The author has been writing a new book.
136,Infinitive Errors,She wanted to gracefully perform on stage.,She wanted to perform on stage gracefully.
137,Relative Clause Errors,The college my sister attends it has a beautiful campus.,The college that my sister attends has a beautiful campus.
138,Spelling Mistakes,23. She is studing biology at the university this semester.,23. She is studying biology at the university this semester.
139,Ambiguity,The girl draw a picture.,The girl drew a picture.
140,Parallelism Errors,"The article examines the economy, social issues, and how to improve education.","The article examines the economy, social issues, and educational improvement."
141,Punctuation Errors,"He's a great singer, and dancer too.",He's a great singer and dancer too.
142,Incorrect Auxiliaries,They does not understand the assignment.,They do not understand the assignment.
143,Agreement in Comparative and Superlative Forms,She is most beautiful than her sister.,She is more beautiful than her sister.
144,Parallelism Errors,"The website features news articles, opinion pieces, and you can watch videos.","The website features news articles, opinion pieces, and videos."
145,Negation Errors,I don't know nothing about cars.,I don't know anything about cars.
146,Spelling Mistakes,95. The laptop was pluged in but it wasn't charging.,"95. The laptop was plugged in, but it wasn't charging."
147,Preposition Usage,They were talking about their plans.,They were talking of their plans.
148,Clichés,She's caught between rock hard place.,She's caught between a rock and a hard place.
149,Sentence Structure Errors,She have a lot of work to do this weekend.,She has a lot of work to do this weekend.
150,Article Usage,The chef is cooking a meal using a fresh ingredients.,The chef is cooking a meal using fresh ingredients.
151,Preposition Usage,The shop is located at the end of the street.,The shop is located on the end of the street.
152,Contractions Errors,Their's a problem with the computer's software.,There's a problem with the computer's software.
153,Incorrect Auxiliaries,The store have a sale on electronics.,The store has a sale on electronics.
154,Article Usage,The waiter brought a menu to a table.,The waiter brought the menu to the table.
155,Conjunction Misuse,"The recipe is simple, and it is delicious.",The recipe is simple and delicious.
156,Verb Tense Errors,The manager gives a speech at the meeting.,The manager gave a speech at the meeting.
157,Modifiers Misplacement,The research paper was submitted by the student containing several errors.,The research paper containing several errors was submitted by the student.
158,Subject-Verb Agreement,The set of keys are on the kitchen counter.,The set of keys is on the kitchen counter.
159,Article Usage,I went to a school yesterday.,I went to school yesterday.
160,Relative Clause Errors,The machine I'm using it at the gym is broken.,The machine that I'm using at the gym is broken.
161,Sentence Fragments,She late for meeting.,She was late for the meeting.
162,Passive Voice Overuse,The garden was tended by the gardener throughout the summer.,The gardener tended the garden throughout the summer.
163,Modifiers Misplacement,The presentation was delivered by the speaker with great enthusiasm.,The presentation with great enthusiasm was delivered by the speaker.
164,Modifiers Misplacement,The novel was written by the author set in medieval times.,The novel set in medieval times was written by the author.
165,Spelling Mistakes,"5. If you could met any celebrity, who would it be?","5. If you could meet any celebrity, who would it be?"
166,Sentence Structure Errors,The childrens had a lot of fun at the playground.,The children had a lot of fun at the playground.
167,Ellipsis Errors,The food was delicious... took a long time to arrive.,"The food was delicious, but it took a long time to arrive."
168,Abbreviation Errors,The avg temp in the city is 75°F in the sum.,The average temperature in the city is 75 degrees Fahrenheit in the summer.
169,Sentence Fragments,"The restaurant, busy, waiters running around.","The restaurant was busy, with waiters running around."
170,Verb Tense Errors,The concert was cancel due to rain.,The concert was canceled due to rain.
171,Capitalization Errors,"he said, “i’m sorry.”","He said, “I’m sorry.”"
172,Infinitive Errors,She decided to permanently delete her social media accounts.,She decided to delete her social media accounts permanently.
173,Word Choice/Usage,He advised her to be discreet about her plans.,He advised her to be discreet about her plans.
174,Lack of Parallelism in Lists or Series,"He plans to study law, gain work experience, and to pursue a career as a lawyer.","He plans to study law, gain work experience, and pursue a career as a lawyer."
175,Negation Errors,I haven't received no packages.,I haven't received any packages.
176,Pronoun Errors,"The band played their instruments loudly, which made them neighbors upset.","The band played their instruments loudly, which made their neighbors upset."
177,Abbreviation Errors,The weather rpt calls for rain tmrw.,The weather report calls for rain tomorrow.
178,Punctuation Errors,I have been to Paris London and Rome.,"I have been to Paris, London, and Rome."
179,Gerund and Participle Errors,The architect's bold vision led to the creation of a beautiful building.,The architect's bold vision led to creating a beautiful building.
180,Incorrect Auxiliaries,The cat has eaten it food.,The cat has eaten its food.
181,Punctuation Errors,"Her favorite colors are blue, purple and green.","Her favorite colors are blue, purple, and green."
182,Contractions Errors,"The plant needs water, it's leaves are wilting.","The plant needs water, its leaves are wilting."
183,Conjunction Misuse,"The hotel is luxurious, and it is expensive.",The hotel is luxurious and expensive.
184,Tautology,The end result of the project was very successful.,The result of the project was very successful.
185,Spelling Mistakes,"5. If you could met any celebrity, who would it be?","5. If you could meet any celebrity, who would it be?"
186,Run-on Sentences,He likes to play soccer he is very good at it.,"He likes to play soccer, which he is very good at."
187,Sentence Structure Errors,She very tired after the long day at work.,She is very tired after the long day at work.
188,Mixed Metaphors/Idioms,"33. Two heads are better than one, but the devil is in the details.",33. Two heads are better than one.
189,Sentence Fragments,"The movie, interesting, everyone engaged.","The movie was interesting, and everyone was engaged."
190,Preposition Usage,The plane was flying above the clouds.,The plane was flying over the clouds.
191,Article Usage,They are attending a wedding of an friend.,They are attending a wedding of a friend.
192,Modifiers Misplacement,The painting was admired by the visitors hanging on the wall.,The painting hanging on the wall was admired by the visitors.
193,Infinitive Errors,The mechanic advised to regularly check the oil levels.,The mechanic advised to check the oil levels regularly.
194,Ellipsis Errors,...is not the way to handle this problem.,That is not the way to handle this problem.
195,Passive Voice Overuse,The movie was enjoyed by everyone in the theater.,Everyone in the theater enjoyed the movie.
196,Incorrect Auxiliaries,I did not went to the concert last weekend.,I did not go to the concert last weekend.
197,Clichés,He's turning blind eye.,He's turning a blind eye.
198,Ellipsis Errors,I love coffee... only drink it in the morning.,"I love coffee, but I only drink it in the morning."
199,Mixed Metaphors/Idioms,"26. When in Rome, do as the Romans do, but don't cry over spilled milk.","26. When in Rome, do as the Romans do."
200,Run-on Sentences,The cake is delicious everyone enjoyed it.,"The cake is delicious, and everyone enjoyed it."
201,Tautology,The book provides a comprehensive overview and a complete summary.,The book provides a comprehensive overview.
202,Spelling Mistakes,66. The team was excited about their victory in the tournment.,66. The team was excited about their victory in the tournament.
203,Conjunction Misuse,"The beach is crowded, and it is noisy.",The beach is crowded and noisy.
204,Verb Tense Errors,The students is studying in the library.,The students are studying in the library.
205,Gerund and Participle Errors,The scientist studied the organism's adapt to their environment.,The scientist studied the organisms' adaptation to their environment.
206,Abbreviation Errors,The pkg includes a tkt to the theme park and htl stay.,The package includes a ticket to the theme park and hotel stay.
207,Sentence Structure Errors,The weather is very hot today; I need a cold drink.,The weather is very hot today; I need a cold drink.
208,Faulty Comparisons,The meal was more tastier than what I expected.,The meal was tastier than what I expected.
209,Article Usage,The waiter brought a menu to a table.,The waiter brought the menu to the table.
210,Run-on Sentences,He's a talented musician he plays multiple instruments.,"He's a talented musician, as he plays multiple instruments."
211,Clichés,He's trying to reinvent wheel.,He's trying to reinvent the wheel.
212,Quantifier Errors,Many of the software developers prefer using Linux.,Many software developers prefer using Linux.
213,Spelling Mistakes,43. There's a new resturant in town that serves delicious food.,43. There's a new restaurant in town that serves delicious food.
214,Modifiers Misplacement,The children were playing soccer in the park wearing uniforms.,The children wearing uniforms were playing soccer in the park.
215,Spelling Mistakes,27. The book is about a man who travells through time.,27. The book is about a man who travels through time.
216,Quantifier Errors,Few of dogs are well-trained.,Few dogs are well-trained.
217,Relative Clause Errors,The college my sister attends it has a beautiful campus.,The college that my sister attends has a beautiful campus.
218,Abbreviation Errors,"She's a prof at UCLA, in the CS dept.","She's a professor at the University of California, Los Angeles, in the Computer Science department."
219,Tautology,The criminal was found guilty and convicted of the crime.,The criminal was found guilty of the crime.
220,Agreement in Comparative and Superlative Forms,The most quickest way to get there is by train.,The quickest way to get there is by train.
221,Relative Clause Errors,The cake I ate it for dessert was delicious.,The cake I ate for dessert was delicious.
222,Spelling Mistakes,80. The boy cutted his finger while peeling the apple.,80. The boy cut his finger while peeling the apple.
223,Capitalization Errors,"i have two cats, tom and jerry.","I have two cats, Tom and Jerry."
224,Spelling Mistakes,59. The paintings in the museum were truly breath taking.,59. The paintings in the museum were truly breathtaking.
225,Ellipsis Errors,The food was delicious... took a long time to arrive.,"The food was delicious, but it took a long time to arrive."
226,Lack of Parallelism in Lists or Series,"He wants to learn how to play the guitar, speaking French, and cooking gourmet meals.","He wants to learn how to play the guitar, speak French, and cook gourmet meals."
227,Conjunction Misuse,"The city is crowded, but it is lively.",The city is crowded and lively.
228,Punctuation Errors,The weather is terrible today it's been raining nonstop.,The weather is terrible today; it's been raining nonstop.
229,Sentence Fragments,"The flowers, blooming, spring arrived.",The flowers were blooming because spring had arrived.
230,Modifiers Misplacement,The research paper was submitted by the student containing several errors.,The research paper containing several errors was submitted by the student.
231,"Slang, Jargon, and Colloquialisms",23. The company's CEO is a real hardass.,23. The company's CEO is very strict.
232,Ellipsis Errors,The cake was delicious... ate too much.,"The cake was delicious, but I ate too much."
233,Ambiguity,The child was ate the candy.,The child ate the candy.
234,Relative Clause Errors,This is the book I told you about.,This is the book that I told you about.
235,Lack of Parallelism in Lists or Series,"The cake was delicious, moist, and decorated beautifully.","The cake was delicious, moist, and beautifully decorated."
236,Ambiguity,The girl hair was long and curly.,The girl's hair was long and curly.
237,"Slang, Jargon, and Colloquialisms",43. He's been working on a top-secret government project.,43. He's been working on a classified government project.
238,Negation Errors,She can't find her keys nowhere.,She can't find her keys anywhere.
239,Ambiguity,The boy broke him arm.,The boy broke his arm.
240,Incorrect Auxiliaries,"The phone was ringing, but no one are answering.","The phone was ringing, but no one was answering."
241,Tautology,She spoke very quietly and softly during her presentation.,She spoke very quietly during her presentation.
242,Subject-Verb Agreement,The pair of gloves keeps my hands warm.,The pair of gloves keep my hands warm.
243,Tautology,I have already previously mentioned this issue.,I have already mentioned this issue.
244,Mixed Conditionals,"If he will apologize, she might have forgiven him.","If he apologized, she might forgive him."
245,Mixed Conditionals,"If he will not be so stubborn, we could have reached a compromise.","If he were not so stubborn, we could have reached a compromise."
246,Inappropriate Register,The company is workin' on developin' eco-friendly products.,The company is working on developing eco-friendly products.
247,Lack of Parallelism in Lists or Series,"The cake was delicious, moist, and decorated beautifully.","The cake was delicious, moist, and beautifully decorated."
248,Punctuation Errors,"When the alarm went off, she hit snooze and went back to sleep.","When the alarm went off, she hit snooze and went back to sleep."
249,Punctuation Errors,"What are you doing tonight, I thought we could watch a movie.",What are you doing tonight? I thought we could watch a movie.
250,Pronoun Errors,The driver parked the car in it's designated spot.,The driver parked the car in its designated spot.
251,Abbreviation Errors,The fin'l stmnts must be audited by a CPA.,The financial statements must be audited by a Certified Public Accountant.
252,Inappropriate Register,"In conclusion, the experiment's results were totes inconclusive.","In conclusion, the experiment's results were entirely inconclusive."
253,Mixed Conditionals,"If I was the president, I am going to change the law.","If I were the president, I would change the law."
254,Word Choice/Usage,I need to buy a new pear of sneakers.,I need to buy a new pair of sneakers.
255,Incorrect Auxiliaries,She am studying for her exams.,She is studying for her exams.
256,Faulty Comparisons,She's more happier when she's with her friends.,She's happier when she's with her friends.
257,Punctuation Errors,"Before leaving the house, don't forget to lock the door, and turn off the lights.","Before leaving the house, don't forget to lock the door and turn off the lights."
258,Preposition Usage,They're going for a walk along the river.,They're going for a walk beside the river.
259,Clichés,They're cutting their nose spite face.,They're cutting off their nose to spite their face.
260,Tautology,I have already previously mentioned this issue.,I have already mentioned this issue.
261,Relative Clause Errors,The town I grew up is small and quiet.,The town where I grew up is small and quiet.
262,Tautology,This is a true fact that cannot be disputed.,This is a fact that cannot be disputed.
263,Capitalization Errors,"he said, “i’m sorry.”","He said, “I’m sorry.”"
264,Capitalization Errors,he left for los angeles early in the morning.,He left for Los Angeles early in the morning.
265,Lack of Parallelism in Lists or Series,"The store offers a wide range of products, competitive prices, and to provide excellent customer service.","The store offers a wide range of products, competitive prices, and provides excellent customer service."
266,Relative Clause Errors,The author book I'm reading is from Ireland.,The author whose book I'm reading is from Ireland.
267,Mixed Conditionals,"If the movie was better, I will recommend it to you.","If the movie were better, I would recommend it to you."
268,Clichés,I've got bigger fish fry.,I've got bigger fish to fry.
269,"Slang, Jargon, and Colloquialisms",11. I dunno where the keys are.,11. I don't know where the keys are.
270,Incorrect Auxiliaries,They does not understand the assignment.,They do not understand the assignment.
271,Tautology,The final conclusion of the experiment was conclusive.,The conclusion of the experiment was conclusive.
272,Clichés,It's whole new ball game.,It's a whole new ball game.
273,Parallelism Errors,"The report covers climate change, pollution, and how to preserve natural resources.","The report covers climate change, pollution, and natural resource preservation."
274,Relative Clause Errors,The girl found the lost puppy was very kind.,The girl who found the lost puppy was very kind.
275,Incorrect Auxiliaries,The plants needs to be watered every day.,The plants need to be watered every day.
276,Sentence Structure Errors,We must to finish the project before the deadline.,We must finish the project before the deadline.
277,Spelling Mistakes,66. The team was excited about their victory in the tournment.,66. The team was excited about their victory in the tournament.
278,Inappropriate Register,"The research paper needs some more work, I reckon.",I believe the research paper requires further work.
279,Negation Errors,She didn't buy none of the books.,She didn't buy any of the books.
280,Relative Clause Errors,The car I sold it last year was my favorite.,The car that I sold last year was my favorite.
281,Mixed Conditionals,"If the weather is bad, we would have canceled the picnic.","If the weather were bad, we would cancel the picnic."
282,Mixed Conditionals,"If you went to the party, you will meet new people.","If you went to the party, you would meet new people."
283,Parallelism Errors,"The report covers climate change, pollution, and how to preserve natural resources.","The report covers climate change, pollution, and natural resource preservation."
284,"Slang, Jargon, and Colloquialisms",16. They be doing the most to impress the boss.,16. They are always going above and beyond to impress the boss.
285,"Slang, Jargon, and Colloquialisms",28. I gotta get this report done by tomorrow.,28. I have to finish this report by tomorrow.
286,Pronoun Errors,Everyone must submit there own report by Friday.,Everyone must submit his or her own report by Friday.
287,Agreement in Comparative and Superlative Forms,This is the most happiest day of my life.,This is the happiest day of my life.
288,Word Choice/Usage,The weather outside is very extreem today.,The weather outside is very extreme today.
289,Subject-Verb Agreement,The employees at the store works diligently.,The employees at the store work diligently.
290,Verb Tense Errors,They was playing soccer last night.,They were playing soccer last night.
291,Punctuation Errors,"I have to study for my exam clean the house, and do the laundry.","I have to study for my exam, clean the house, and do the laundry."
292,Article Usage,The cat is hiding under a table.,The cat is hiding under the table.
293,Ellipsis Errors,The game was intense... went into overtime.,The game was intense and went into overtime.
294,Mixed Metaphors/Idioms,"17. Time flies when you're having fun, and a rolling stone gathers no moss.",17. Time flies when you're having fun.
295,Abbreviation Errors,"My flight was del'd, so I'll arr late.","My flight was delayed, so I'll arrive late."
296,Tautology,I have already previously mentioned this issue.,I have already mentioned this issue.
297,Preposition Usage,They were walking along the beach.,They were walking beside the beach.
298,Faulty Comparisons,My cat is more faster than your dog.,My cat is faster than your dog.
299,"Slang, Jargon, and Colloquialisms",41. You shoulda seen the look on her face!,41. You should have seen the look on her face!
300,Parallelism Errors,"The band plays rock music, jazz, and they perform acoustic sets.","The band plays rock music, jazz, and performs acoustic sets."
301,Modifiers Misplacement,The report was presented by the analyst including recent trends.,The report including recent trends was presented by the analyst.
302,Clichés,She's making mountain molehill.,She's making a mountain out of a molehill.
303,Word Choice/Usage,He was very weary after the long journey.,He was very weary after the long journey.
304,Clichés,I've got bigger fish fry.,I've got bigger fish to fry.
305,Abbreviation Errors,My fav band is playing at SXSW this yr.,My favorite band is playing at South by Southwest this year.
306,Faulty Comparisons,The car is more safer than a motorcycle.,The car is safer than a motorcycle.
307,Article Usage,She is reading a book about a personal development.,She is reading a book about personal development.
308,Redundancy/Repetition,The athlete ran quickly with great speed.,The athlete ran quickly.
309,Faulty Comparisons,The presentation was more boring than the lecture.,The presentation was more boring than the lecture.
310,Article Usage,He has a unique collection of a coins.,He has a unique collection of coins.
311,Quantifier Errors,Few of the politicians in this country are honest.,Few politicians in this country are honest.
312,Subject-Verb Agreement,The students in the class was excited about the field trip.,The students in the class were excited about the field trip.
313,Sentence Structure Errors,John and I dog went for a walk.,John's and my dog went for a walk.
314,Run-on Sentences,He likes to play soccer he is very good at it.,"He likes to play soccer, which he is very good at."
